trip_id,start_time,end_time,headway_secs
14M_14M_S_1_16_0.78889,18:36:45,19:15:45,390
14M_14M_S_1_23_0.82639,19:18:00,19:57:00,390
14M_14M_S_1_7_0.23611,05:30:00,05:40:00,600
14M_14M_S_1_14_0.27778,06:33:30,06:40:30,420
14M_14M_S_1_25_0.32431,07:43:30,08:27:30,240
14M_14M_S_1_35_0.36458,08:33:30,08:53:30,240
14M_14M_S_1_41_0.40694,09:21:30,09:46:30,300
14M_14M_S_1_6_0.44444,08:58:30,14:46:30,360
14M_14M_S_1_11_0.48194,09:46:30,15:04:30,360
14M_14M_S_1_16_0.51944,08:58:30,14:46:30,360
14M_14M_S_1_23_0.55694,09:46:30,15:04:30,360
14M_14M_S_1_29_0.59444,08:58:30,14:46:30,360
14M_14M_S_1_35_0.63472,15:04:30,15:19:30,300
14M_14M_S_1_3_0.67708,15:23:30,17:11:30,240
14M_14M_S_1_11_0.71806,17:10:00,17:50:00,240
14M_14M_S_1_16_0.75833,17:56:30,18:16:30,240
14M_14M_S_1_23_0.79792,18:36:45,19:15:45,390
14M_14M_S_1_29_0.83611,19:57:00,21:19:30,450
14M_14M_S_1_34_0.87500,19:15:45,21:00:45,450
14M_14M_S_1_3_0.91944,21:36:15,22:52:15,570
14M_14M_S_1_12_0.96250,22:28:00,23:06:00,570
14M_14M_S_1_16_1.00972,24:03:00,24:14:00,660
14M_14M_S_1_16_0.28194,06:40:30,06:52:30,360
14M_14M_S_1_24_0.32153,07:07:30,07:43:30,180
14M_14M_S_1_36_0.36736,08:33:30,08:53:30,240
14M_14M_S_1_10_0.24236,05:40:00,05:49:30,570
14M_14M_S_1_19_0.28611,06:40:30,06:52:30,360
14M_14M_S_1_26_0.32708,07:43:30,08:27:30,240
14M_14M_S_1_37_0.37014,08:33:30,08:53:30,240
14M_14M_S_1_1_0.41111,09:46:30,15:04:30,360
14M_14M_S_1_8_0.44861,08:58:30,14:46:30,360
14M_14M_S_1_14_0.48611,09:46:30,15:04:30,360
14M_14M_S_1_19_0.52361,08:58:30,14:46:30,360
14M_14M_S_1_24_0.56111,09:46:30,15:04:30,360
14M_14M_S_1_30_0.59861,08:58:30,14:46:30,360
14M_14M_S_1_37_0.63819,15:04:30,15:19:30,300
14M_14M_S_1_5_0.67986,15:23:30,17:11:30,240
14M_14M_S_1_12_0.72083,17:10:00,17:50:00,240
14M_14M_S_1_21_0.76111,17:56:30,18:16:30,240
14M_14M_S_1_14_0.24861,05:49:30,05:58:30,540
14M_14M_S_1_23_0.28958,06:52:30,06:57:00,270
14M_14M_S_1_29_0.32986,07:43:30,08:27:30,240
14M_14M_S_2_7_0.25278,05:30:00,06:18:00,480
14M_14M_S_2_16_0.29931,07:03:30,07:31:30,240
14M_14M_S_2_24_0.34722,08:16:00,08:32:00,160
14M_14M_S_2_34_0.36458,08:38:15,08:48:45,210
14M_14M_S_2_44_0.41042,09:41:10,10:21:10,300
14M_14M_S_2_36_0.68542,16:16:00,16:57:15,165
14M_14M_S_2_27_0.64306,15:23:20,15:33:50,210
14M_14M_S_2_38_0.68681,16:16:00,16:57:15,165
14M_14M_S_2_47_0.73611,17:14:05,18:39:25,320
14M_14M_S_2_53_0.78333,18:27:25,18:54:05,320
14M_14M_S_2_17_0.26667,06:18:00,06:24:30,390
14M_14M_S_2_25_0.31319,07:03:30,07:31:30,240
14M_14M_S_2_36_0.36250,08:38:15,08:48:45,210
14M_14M_S_2_48_0.41389,09:41:10,10:21:10,300
